ds,y,Volume
2014-07-08,4391.459961,2.22182
2014-07-09,4419.029785,1.73696
2014-07-10,4396.200195,1.68292
2014-07-11,4415.490234,1.51125
2014-07-14,4440.419922,1.57966
2014-07-15,4416.390137,1.77203
2014-07-16,4425.970215,2.05934
2014-07-17,4363.450195,2.05524
2014-07-18,4432.149902,1.82358
2014-07-21,4424.700195,1.55782
2014-07-22,4456.02002,1.72444
2014-07-23,4473.700195,1.90981
2014-07-24,4472.109863,1.93509
2014-07-25,4449.560059,1.71143
2014-07-28,4444.910156,1.78325
2014-07-29,4442.700195,2.09081
2014-07-30,4462.899902,1.87243
2014-07-31,4369.77002,2.27338
2014-08-01,4352.640137,2.05034
2014-08-04,4383.890137,1.6774
2014-08-05,4352.839844,1.91618
2014-08-06,4355.049805,1.81931
2014-08-07,4334.970215,1.86633
2014-08-08,4370.899902,1.75906
2014-08-11,4401.330078,1.53788
2014-08-12,4389.25,1.56022
2014-08-13,4434.129883,1.61169
2014-08-14,4453.0,1.54982
2014-08-15,4464.930176,1.79946
2014-08-18,4508.310059,1.5711
2014-08-19,4527.509766,1.55656
2014-08-20,4526.47998,1.50229
2014-08-21,4532.100098,1.42173
2014-08-22,4538.549805,1.31181
2014-08-25,4557.350098,1.38462
2014-08-26,4570.640137,1.46962
2014-08-27,4569.620117,1.38947
2014-08-28,4557.700195,1.30958
2014-08-29,4580.27002,1.35283
2014-09-02,4598.189941,1.85908
2014-09-03,4572.560059,1.89745
2014-09-04,4562.290039,1.7287
2014-09-05,4582.899902,1.64183
2014-09-08,4592.290039,1.67021
2014-09-09,4552.290039,1.95655
2014-09-10,4586.52002,1.80865
2014-09-11,4591.810059,1.70485
2014-09-12,4567.600098,1.78417
2014-09-15,4518.899902,1.94052
2014-09-16,4552.759766,1.87935
2014-09-17,4562.189941,1.79671
2014-09-18,4593.430176,1.77484
2014-09-19,4579.790039,3.17849
2014-09-22,4527.689941,1.88152
2014-09-23,4508.689941,1.84773
2014-09-24,4555.220215,1.76526
2014-09-25,4466.75,1.93961
2014-09-26,4512.189941,1.63748
2014-09-29,4505.850098,1.73775
2014-09-30,4493.390137,2.20038
2014-10-01,4422.089844,2.31263
2014-10-02,4430.200195,2.1655
2014-10-03,4475.620117,1.77764
2014-10-06,4454.799805,1.82824
2014-10-07,4385.200195,2.11136
2014-10-08,4468.589844,2.45163
2014-10-09,4378.339844,2.26422
2014-10-10,4276.240234,2.76575
2014-10-13,4213.660156,2.46783
2014-10-14,4227.169922,2.49612
2014-10-15,4215.319824,3.05874
2014-10-16,4217.390137,2.59194
2014-10-17,4258.439941,2.26007
2014-10-20,4316.069824,1.71737
2014-10-21,4419.47998,1.99758
2014-10-22,4382.850098,1.96702
2014-10-23,4452.790039,1.95238
2014-10-24,4483.720215,1.7543
2014-10-27,4485.930176,1.58558
